zhangzhou334,漳州,150
city_id,city,city_num
dandong315,丹东,150
city_id,city,city_num
huludao345,葫芦岛,150
city_id,city,city_num
jiuquan282,酒泉,150
city_id,city,city_num
yilan1383,宜兰,150
city_id,city,city_num
dayi3130,大邑,150
city_id,city,city_num
zhangye283,张掖,150
city_id,city,city_num
taizhou402,台州,150
city_id,city,city_num
yichun743,宜春,150
city_id,city,city_num
shaoguan222,韶关,150
city_id,city,city_num
xuzhou230,徐州,150
city_id,city,city_num
shennongjia147,神农架,150
city_id,city,city_num
jilinshi267,吉林市,150
city_id,city,city_num
baoding459,保定,150
city_id,city,city_num
nantong85,南通,150
city_id,city,city_num
baoshan420,保山,150
city_id,city,city_num
zhongshan233,中山,150
city_id,city,city_num
qingyuan517,清远,150
city_id,city,city_num
hangzhou14,杭州,150
city_id,city,city_num
shanghai2,上海,150
city_id,city,city_num
chengdu104,成都,150
city_id,city,city_num
xiamen21,厦门,150
city_id,city,city_num
taipeicity360,台北,150
city_id,city,city_num
hongkong38,香港,150
city_id,city,city_num
beijing1,北京,150
city_id,city,city_num
suzhou11,苏州,150
city_id,city,city_num
nanjing9,南京,150
city_id,city,city_num
lijiang32,丽江,150
city_id,city,city_num
chongqing158,重庆,150
city_id,city,city_num
wuhan145,武汉,150
city_id,city,city_num
kunming29,昆明,150
city_id,city,city_num
guangzhou152,广州,150
city_id,city,city_num
tianjin154,天津,150
city_id,city,city_num
shenzhen26,深圳,150
city_id,city,city_num
macau39,澳门,150
city_id,city,city_num
wuxi10,无锡,150
city_id,city,city_num
dali31,大理,150
city_id,city,city_num
dalian4,大连,150
city_id,city,city_num
changsha148,长沙,150
city_id,city,city_num
ningbo83,宁波,150
city_id,city,city_num
shenyang155,沈阳,150
city_id,city,city_num
guilin28,桂林,150
city_id,city,city_num
xian7,西安,150
city_id,city,city_num
xishuangbanna30,西双版纳,150
city_id,city,city_num
haerbin151,哈尔滨,150
city_id,city,city_num
zhangjiajie23,张家界,150
city_id,city,city_num
lhasa36,拉萨,150
city_id,city,city_num
gaoxiong756,高雄,150
city_id,city,city_num
sanya61,三亚,150
city_id,city,city_num
yangzhou12,扬州,150
city_id,city,city_num
qingdao5,青岛,150
city_id,city,city_num
hualien1366,花莲,150
city_id,city,city_num
xianggelila106,香格里拉,150
city_id,city,city_num
fenghuang988,凤凰,150
city_id,city,city_num
beihai140,北海,150
city_id,city,city_num
shaoxing18,绍兴,150
city_id,city,city_num
nanning166,南宁,150
city_id,city,city_num
guiyang33,贵阳,150
city_id,city,city_num
aba744,阿坝,150
city_id,city,city_num
fuzhou164,福州,150
city_id,city,city_num
xining237,西宁,150
city_id,city,city_num
yangshuo702,阳朔,150
city_id,city,city_num
xiangxi496,湘西,150
city_id,city,city_num
qinhuangdao132,秦皇岛,150
city_id,city,city_num
changchun216,长春,150
city_id,city,city_num
jiuzhaigou25,九寨沟,150
city_id,city,city_num
weihai169,威海,150
city_id,city,city_num
jinan128,济南,150
city_id,city,city_num
zhuhai27,珠海,150
city_id,city,city_num
emeishan24,峨眉山,150
city_id,city,city_num
haikou37,海口,150
city_id,city,city_num
wuyishan22,武夷山,150
city_id,city,city_num
zhoushan479,舟山,150
city_id,city,city_num
taiyuan167,太原,150
city_id,city,city_num
zhengzhou157,郑州,150
city_id,city,city_num
yinchuan239,银川,150
city_id,city,city_num
jiaxing272,嘉兴,150
city_id,city,city_num
leshan103,乐山,150
city_id,city,city_num
